finish,start,car_number,driver,car_name/entrant,make_model,status,laps,LED,winnings,year
10,21,11,Scott Sharp,Conseco AJ Foyt Racing,Lola/Ford Cosworth XB,Running,194,0,"$202,053",1996
11,4,3,Eddie Cheever Jr.,Quaker State Menards,Lola/Menard V6,Running,189,0,"$206,103",1996
12,10,14,Davey Hamilton,AJ Foyt Copenhagen Racing,Lola/Ford Cosworth XB,Running,181,0,"$184,003",1996
13,8,22,Michel Jourdain Jr.,Herdez Quaker State/Viva Mexico!,Lola/Ford Cosworth XB,Running,177,0,"$193,653",1996
14,18,45,Lyn St. James,Spirit of San Antonio,Lola/Ford Cosworth XB,Accident,153,0,"$182,603",1996
15,32,44,Scott Harrington,Gold Eagle/Mechanics Laundry/Harrington/LP,Reynard/Ford Cosworth XB,Accident,150,0,"$190,753",1996
16,20,5,Arie Luyendyk,Jonathan Byrd's Cafeteria/Bryant H. & C.,Reynard/Ford Cosworth XB,Damage,149,0,"$216,503",1996
17,9,12,Buzz Calkins,Bradley Food Marts/Hoosier Lottery,Reynard/Ford Cosworth XB,Brake,148,0,"$173,553",1996
18,19,27,Jim Guthrie,Team Blueprint Racing,Lola/Menard V6,Engine,144,0,"$168,453",1996
19,14,30,Mark Dismore,Quaker State Menards,Lola/Menard V6,Engine,129,0,"$161,253",1996
20,11,60,Mike Groff,Valvoline Cummins Craftsman,Reynard/Ford Cosworth XB,Tire,122,0,"$158,503",1996
21,28,34,Fermin Velez,Scandia/Xcel/Royal Purple,Lola/Ford Cosworth XB,Engine fire,107,0,"$176,653",1996
22,31,43,Joe Gosek,Scandia/Fanatics Only/Xcel,Lola/Ford Cosworth XB,Radiator,106,0,"$169,653",1996
23,26,10,Brad Murphey,Hemelgarn Racing-Delta Faucet,Reynard/Ford Cosworth XB,Suspension,91,0,"$177,853",1996
24,1,20,Tony Stewart,Menards/Glidden/Quaker State,Lola/Menard V6,Engine,82,44,"$222,053",1996
25,25,90,Racin Gardner,Team Scandia/Slick Gardner Enterprises,Lola/Ford Cosworth XB,Suspension,76,0,"$149,853",1996
26,22,41,Marco Greco,AJ Foyt Enterprises,Lola/Ford Cosworth XB,Engine,64,0,"$153,303",1996
27,13,9,Stephan Gregoire,Hemelgarn Racing/Delta Faucet,Reynard/Ford Cosworth XB,Coil fire,59,0,"$147,103",1996
28,27,16,Johnny Parsons,Team Blueprint Racing,Lola/Menard V6,Radiator,48,0,"$161,203",1996
29,29,75,Johnny O'Connell,Mechanics Laundry/Cunningham,Reynard/Ford Cosworth XB,Fuel system,47,0,"$145,553",1996
30,12,33,Michele Alboreto,Rio Hotel & Casino/Perry Ellis/Royal Purple,Reynard/Ford Cosworth XB,Gear box,43,0,"$144,953",1996
31,17,18,John Paul Jr.,V-Line/Earl's Perf. Prod./Crowne Plaza/Keco,Lola/Menard V6,Ignition,10,0,"$144,203",1996
32,24,96,Paul Durant,ABF Motorsports/Sunrise Rentals,Lola/Buick,Engine,9,0,"$149,153",1996
33,16,64,Johnny Unser,Ruger-Titanium/Project Indy,Reynard/Ford Cosworth XB,Transmission,0,0,"$143,953",1996
1,1,5,Arie Luyendyk,Wavephore/Sprint PCS/Miller Lite/Provimi,G Force/Oldsmobile Aurora,145.827,200,61,"$1,568,150",1997
2,5,6,Scott Goodyear,Nortel/Sprint PCS/Quebecor Printing,G Force/Oldsmobile Aurora,145.82,200,2,"$513,300",1997
3,7,52,Jeff Ward,FirstPlus Team Cheever,G Force/Oldsmobile Aurora,145.779,200,49,"$414,250",1997
4,10,91,Buddy Lazier,Delta Faucet-Montana-Hemelgarn,Dallara/Oldsmobile Aurora,145.705,200,7,"$279,250",1997
5,2,2,Tony Stewart,Glidden/Menards,G Force/Oldsmobile Aurora,145.49,200,64,"$345,050",1997
6,8,14,Davey Hamilton,AJ Foyt PowerTeam Racing,G Force/Oldsmobile Aurora,Running,199,0,"$214,000",1997
7,22,11,Billy Boat,Conseco A.J. Foyt Racing,Dallara/Oldsmobile Aurora,Running,199,1,"$269,700",1997
8,4,3,Robbie Buhl,Quaker State/Menards,G Force/Oldsmobile Aurora,Running,199,16,"$235,200",1997
9,21,30,Robbie Groff,Alfa-Laval/Team Losi/McCormack Mtspts.,G Force/Oldsmobile Aurora,Running,197,0,"$222,350",1997
10,29,33,Fermin Velez,Old Navy Scandia Royal Purple Alta Xcel,Dallara/Oldsmobile Aurora,Running,195,0,"$216,400",1997
11,16,12,Buzz Calkins,Bradley Food Marts,G Force/Oldsmobile Aurora,Half shaft,188,0,"$201,000",1997
12,18,10,Mike Groff,Jonathan Byrd's Cafeteria/Visionaire/Bryant,G Force/Oldsmobile Aurora,Running,188,0,"$197,300",1997
13,34,90,Lyn St. James,Lifetime TV-Cinergy-Delta Faucet-Hemelgarn,Dallara/Nissan Infiniti Indy,Accident,186,0,"$188,000",1997
14,20,44,Steve Kinser,SRS/One Call/Menards/Quaker St./St. Elmo's,Dallara/Oldsmobile Aurora,Accident,185,0,"$193,250",1997
15,28,54,Dennis Vitolo,SmithKline Beechman/Kroger/Beck Mtspts.,Dallara/Nissan Infiniti Indy,Running,173,0,"$210,000",1997
16,27,22,Marco Greco,Side Play Int'l Sport Scandia Alta Xcel,Dallara/Oldsmobile Aurora,Gear box,166,0,"$193,000",1997
17,3,8,Vincenzo Sospiri,Old Navy Scandia Royal Purple Alta Xcel,Dallara/Oldsmobile Aurora,Running,163,0,"$196,250",1997
18,35,9,Johnny Unser,Delta Faucet-Montana-Cinergy-Hemelgarn,Dallara/Nissan Infiniti Indy,Oil pressure,158,0,"$158,000",1997
19,26,18,Tyce Carlson,Klipsch Tnemec Overhead Door Pyle V-Line,Dallara/Oldsmobile Aurora,Accident,156,0,"$173,250",1997
20,17,40,Jack Miller,AMS/Crest Racing/Trane/Spot-On,Dallara/Nissan Infiniti Indy,Accident,131,0,"$171,250",1997
21,33,1,Paul Durant,Conseco A.J. Foyt Racing,G Force/Oldsmobile Aurora,Accident,111,0,"$178,000",1997
22,24,50,Billy Roe,Sega/Progressive Elect./KECO/U.J.T./Euroint'l,Dallara/Oldsmobile Aurora,Accident,110,0,"$150,250",1997
23,11,51,Eddie Cheever Jr.,FirstPlus Team Cheever,G Force/Oldsmobile Aurora,Timing chain,84,0,"$176,000",1997
24,9,7,Eliseo Salazar,Copec/Cristal/Scandia,Dallara/Oldsmobile Aurora,Accident,70,0,"$164,000",1997
25,30,97,Greg Ray,Tobacco Free Kids,Dallara/Oldsmobile Aurora,Water pump,48,0,"$171,250",1997
26,6,27,Jim Guthrie,Blueprint/Jacuzzi/Armour Golf/ERTL,Dallara/Oldsmobile Aurora,Engine,43,0,"$164,500",1997
27,19,21,Roberto Guerrero,Pennzoil-Pagan Racing,Dallara/Nissan Infiniti Indy,Steering,25,0,"$160,000",1997
28,25,28,Mark Dismore,Kelley Auto./Mech Laundry/Bombardier,Dallara/Oldsmobile Aurora,Accident,24,0,"$159,000",1997
29,12,42,Robby Gordon,Coors Light,G Force/Oldsmobile Aurora,Fire,19,0,"$139,500",1997
30,32,72,Claude Bourbonnais,Blueprint/Jacuzzi/Armour Golf/ERTL,Dallara/Oldsmobile Aurora,Engine,9,0,"$152,250",1997
31,13,77,Stephan Gregoire,Chastain Motorsports-Estridge-Miller Eads,G Force/Oldsmobile Aurora,Accident,0,0,"$158,000",1997
32,14,17,Affonso Giaffone,General Motors Brazil Chitwood,Dallara/Oldsmobile Aurora,Accident,0,0,"$158,250",1997
33,15,4,Kenny Brack,Monsoon Galles Racing,G Force/Oldsmobile Aurora,Accident,0,0,"$202,250",1997
34,23,16,Sam Schmidt,Blueprint/HOPE Prepaid Fuel Card,Dallara/Oldsmobile Aurora,Engine,0,0,"$150,250",1997
35,31,34,Alessandro Zampedri,Mi-Jack Scandia Royal Purple,Dallara/Oldsmobile Aurora,Oil leak,0,0,"$145,000",1997
1,17,51,Eddie Cheever Jr.,Rachel's Potato Chips,Dallara/Oldsmobile Aurora,145.155,200,76,"$1,433,000",1998
2,11,91,Buddy Lazier,Delta Faucet/Coors Light/Hemelgarn,Dallara/Oldsmobile Aurora,145.118,200,20,"$483,200",1998
3,23,55,Steve Knapp,Primadonna Resorts/Miller Milling/ISM,G Force/Oldsmobile Aurora,145.076,200,0,"$338,750",1998
4,8,6,Davey Hamilton,Reebok/Nienhouse Motorsports,G Force/Oldsmobile Aurora,Running,199,3,"$301,650",1998
5,21,52,Robby Unser,Team Cheever,Dallara/Oldsmobile Aurora,Running,198,0,"$209,400",1998
6,3,14,Kenny Brack,AJ Foyt PowerTeam Racing,Dallara/Oldsmobile Aurora,Running,198,23,"$310,750",1998
7,16,81,John Paul Jr.,Team Pelfrey,Dallara/Oldsmobile Aurora,Running,197,39,"$216,350",1998
8,19,17,Andy Michner,Konica/Syan Racing,Dallara/Oldsmobile Aurora,Running,197,0,"$182,050",1998
9,13,44,J.J. Yeley,One Call Comm. Quaker State Menards SRS,Dallara/Oldsmobile Aurora,Running,197,0,"$198,550",1998
10,18,12,Buzz Calkins,Int'l Star Registry/Bradley Food Marts,G Force/Oldsmobile Aurora,Running,195,4,"$248,500",1998
11,26,7,Jimmy Kite,Royal Purple Synthetic/Synerlec/Scandia,Dallara/Oldsmobile Aurora,Running,195,0,"$287,300",1998
12,22,18,Jack Hewitt,Parker Machinery,G Force/Oldsmobile Aurora,Running,195,0,"$265,800",1998
13,27,35,Jeff Ward,Team Tabasco/Superflo/Prolong/ISM,G Force/Oldsmobile Aurora,Running,194,0,"$242,050",1998
14,14,16,Marco Greco,Int. Sports Ltd. Phoenix Racing,G Force/Oldsmobile Aurora,Engine,183,0,"$167,800",1998
15,32,10,Mike Groff,Jonathan Byrd's VisionAire Bryant H. & C.,G Force/Oldsmobile Aurora,Running,183,0,"$237,600",1998
16,7,8,Scott Sharp,Delphi Automotive Systems,Dallara/Oldsmobile Aurora,Gearbox,181,0,"$234,800",1998
17,31,77,Stephan Gregoire,Blue Star/Tokheim/Estridge/Miller-Eads,G Force/Oldsmobile Aurora,Running,172,0,"$225,300",1998
18,2,97,Greg Ray,TMS/TNN/True Value/Dixie Chopper,Dallara/Oldsmobile Aurora,Gearbox,167,18,"$175,400",1998
19,30,30,Raul Boesel,Beloit/Fast Rod/Team Losi/TransWorld,G Force/Oldsmobile Aurora,Running,164,0,"$221,300",1998
20,28,5,Arie Luyendyk,Sprint PCS/Radio Shack/Qualcomm,G Force/Oldsmobile Aurora,Gearbox,151,4,"$242,100",1998
21,15,40,Jack Miller,Crest Racing,Dallara/Nissan Infiniti Indy,Running,128,0,"$159,800",1998
22,9,21,Roberto Guerrero,Pagan Racing,Dallara/Oldsmobile Aurora,Running,125,0,"$165,300",1998
23,1,11,Billy Boat,Conseco AJ Foyt Racing,Dallara/Oldsmobile Aurora,Drive line,111,12,"$364,200",1998
24,10,4,Scott Goodyear,Pennzoil Panther,G Force/Oldsmobile Aurora,Clutch,100,0,"$253,300",1998
25,25,9,Johnny Unser,Hemelgarn Racing,Dallara/Oldsmobile Aurora,Engine,98,0,"$136,300",1998
26,6,99,Sam Schmidt,Best Western Gold Crown Racing,Dallara/Oldsmobile Aurora,Accident,48,0,"$215,300",1998
27,12,28,Mark Dismore,Kelley Automotive,Dallara/Oldsmobile Aurora,Accident,48,0,"$209,300",1998
28,29,19,Stan Wattles,Metro Racing Systems/NCLD,Riley & Scott/Oldsmobile Aurora,Accident,48,0,"$138,550",1998
29,20,53,Jim Guthrie,Delco Remy/Goodyear/ISM Racing Aurora,G Force/Oldsmobile Aurora,Accident,48,0,"$133,300",1998
30,33,33,Billy Roe,Royal Purple/ProLink/Scandia,Dallara/Oldsmobile Aurora,Accident,48,0,"$137,300",1998
31,5,3,Robbie Buhl,Johns Manville/Menards,Dallara/Oldsmobile Aurora,Engine,44,0,"$222,300",1998
32,24,98,Donnie Beechler,Cahill Auto Racing,G Force/Oldsmobile Aurora,Engine,34,0,"$132,300",1998
33,4,1,Tony Stewart,Glidden/Menards,Dallara/Oldsmobile Aurora,Engine,22,1,"$220,250",1998
1,8,14,Kenny Brack,A.J. Foyt PowerTeam Racing,Dallara/Oldsmobile Aurora,153.176,200,66,"$1,465,190",1999
2,14,21,Jeff Ward,Yahoo/MerchantOnline,Dallara/Oldsmobile Aurora,153.091,200,3,"$583,150",1999
3,3,11,Billy Boat,A.J. Foyt Racing,Dallara/Oldsmobile Aurora,152.853,200,0,"$435,200",1999
4,4,32,Robby Gordon,Glidden/Menards,Dallara/Oldsmobile Aurora,152.18,200,28,"$253,270",1999
5,27,55,Robby McGehee,Energizer Advanced Formula,Dallara/Oldsmobile Aurora,Running,199,0,"$247,750",1999
6,32,84,Robbie Buhl,A.J. Foyt Racing,Dallara/Oldsmobile Aurora,Running,199,0,"$257,500",1999
7,22,91,Buddy Lazier,Delta Faucet/Coors Light/Tae-Bo/Hemelgarn,Dallara/Oldsmobile Aurora,Running,198,0,"$285,100",1999
8,17,81,Robby Unser,PetroMoly/Team Pelfrey,Dallara/Oldsmobile Aurora,Running,197,0,"$195,500",1999
9,24,22,Tony Stewart,The Home Depot,Dallara/Oldsmobile Aurora,Running,196,0,"$186,670",1999
10,10,54,Hideshi Matsuda,Mini Juke-Beck Motorsports,Dallara/Oldsmobile Aurora,Running,196,0,"$186,000",1999
11,11,9,Davey Hamilton,Galles Racing Spinal Conquest,Dallara/Oldsmobile Aurora,Running,196,0,"$220,500",1999
12,33,3,Raul Boesel,Brant Racing R&S MKV,Riley & Scott/Olds. Aurora,Running,195,0,"$248,600",1999
13,12,42,John Hollansworth Jr.,pcsave.com/Lycos,Dallara/Oldsmobile Aurora,Running,192,0,"$265,400",1999
14,15,20,Tyce Carlson,Pennzoil/Damon's/Bluegreen,Dallara/Oldsmobile Aurora,Running,190,0,"$247,000",1999
15,21,96,Jeret Schroeder,Purity Farms/Cobb Racing,G Force/Infiniti Indy,Engine,175,0,"$176,250",1999
16,5,28,Mark Dismore,MCI WorldCom,Dallara/Oldsmobile Aurora,Accident,168,0,"$235,300",1999
17,20,19,Stan Wattles,Metro Racing Systems/NCLD,Dallara/Oldsmobile Aurora,Running,147,0,"$158,000",1999
18,16,51,Eddie Cheever Jr.,Team Cheever/Children's Beverage Group,Dallara/Infiniti Indy,Engine,139,4,"$246,800",1999
19,26,12,Buzz Calkins,Bradley Food Marts/Sav-O-Mat,G Force/Oldsmobile Aurora,Running,133,0,"$228,000",1999
20,23,33,Roberto Moreno,Truscelli Team Racing/Warner Bros.,G Force/Oldsmobile Aurora,Gearbox,122,0,"$225,670",1999
21,2,2,Greg Ray,Glidden/Menards,Dallara/Oldsmobile Aurora,Accident pits,120,32,"$204,900",1999
22,1,5,Arie Luyendyk,Sprint PCS/Meijer,G Force/Oldsmobile Aurora,Accident,117,63,"$382,350",1999
23,29,52,Wim Eyckmans,EGP/Beaulieu of America,Dallara/Oldsmobile Aurora,Timing chain,113,0,"$145,250",1999
24,28,30,Jimmy Kite,Alfa Laval/Team Losi/Fastrod,G Force/Oldsmobile Aurora,Engine,111,0,"$228,000",1999
25,25,50,Roberto Guerrero,Cobb Racing,G Force/Infiniti Indy,Engine,105,0,"$217,000",1999
26,13,35,Steve Knapp,Delco Remy-ThermoTech-Microphonics,G Force/Oldsmobile Aurora,Handling,104,0,"$216,000",1999
27,9,4,Scott Goodyear,Pennzoil Panther,G Force/Oldsmobile Aurora,Engine,101,0,"$217,500",1999
28,6,8,Scott Sharp,Delphi Automotive Systems,Dallara/Oldsmobile Aurora,Transmission,83,0,"$221,500",1999
29,19,98,Donnie Beechler,Cahill Racing/Big Daddy's BBQ,Dallara/Oldsmobile Aurora,Engine,74,0,"$143,000",1999
30,7,99,Sam Schmidt,Unistar Auto Insurance,G Force/Oldsmobile Aurora,Accident,62,4,"$213,800",1999
31,31,17,Jack Miller,Dean's Milk Chug,Dallara/Oldsmobile Aurora,Clutch,29,0,"$146,000",1999
32,30,92,Johnny Unser,Tae-Bo/Hemelgarn/Homier Tool/Delta Faucet,Dallara/Oldsmobile Aurora,Brakes,10,0,"$161,000",1999
33,18,6,Eliseo Salazar,FUBU Nienhouse Racing,G Force/Oldsmobile Aurora,Accident,7,0,"$141,000",1999
1,2,9,Juan Pablo Montoya,Target,G Force/Oldsmobile,167.607,200,167,"$1,235,690",2000
2,16,91,Buddy Lazier,Delta Faucet/Coors Light/Tae-Bo/Hemelgarn,Dallara/Oldsmobile,167.495,200,0,"$574,600",2000
3,3,11,Eliseo Salazar,Rio A.J. Foyt Racing,G Force/Oldsmobile,167.362,200,0,"$474,900",2000
4,6,14,Jeff Ward,Harrah's A.J. Foyt Racing,G Force/Oldsmobile,167.32,200,0,"$361,000",2000
5,10,51,Eddie Cheever Jr.,#51 Excite@Home Indy Race Car,Dallara/Nissan Infiniti,167.315,200,0,"$364,500",2000
6,4,32,Robby Gordon,Turtle Wax/Burger King/Moen/JM,Dallara/Oldsmobile,167.309,200,0,"$216,355",2000
7,7,10,Jimmy Vasser,Target,G Force/Oldsmobile,Running,199,5,"$207,505",2000
8,20,7,Stephan Gregoire,Mexmil/Tokheim/Viking Air Tools,G Force/Oldsmobile,Running,199,0,"$306,900",2000
9,13,4,Scott Goodyear,Pennzoil Panther,Dallara/Oldsmobile,Running,199,0,"$348,800",2000
10,5,8,Scott Sharp,Delphi Automotive Systems/MCI WorldCom,Dallara/Oldsmobile,Running,198,0,"$313,000",2000
11,11,28,Mark Dismore,On Star/GM BuyPower/Bryant H. & C.,Dallara/Oldsmobile,Running,198,0,"$294,500",2000
12,15,98,Donnie Beechler,Cahill Racing,Dallara/Oldsmobile,Running,198,0,"$283,000",2000
13,26,33,Jaques Lazier,Miles of Hope/Truscelli Team Racing,G Force/Oldsmobile,Running,198,0,"$290,250",2000
14,29,6,Jeret Schroeder,Kroger/Tri Star Motorsports Inc.,Dallara/Oldsmobile,Running,198,0,"$279,000",2000
15,31,41,Billy Boat,Harrah's A.J. Foyt Racing,G Force/Oldsmobile,Running,198,0,"$211,000",2000
16,24,55,Raul Boesel,Epson,G Force/Oldsmobile,Running,197,0,"$213,000",2000
17,17,50,Jason Leffler,UnitedAuto Group,G Force/Oldsmobile,Running,197,0,"$170,905",2000
18,22,12,Buzz Calkins,Bradley Motorsports/Team CAN,Dallara/Oldsmobile,Running,194,0,"$169,000",2000
19,27,23,Steve Knapp,Dreyer & Reinbold Racing,G Force/Nissan Infiniti,Running,193,0,"$167,000",2000
20,28,16,Davey Hamilton,FreeInternet.com/TeamXtreme,G Force/Oldsmobile,Running,188,0,"$166,500",2000
21,12,5,Robby McGehee,Meijer/Energizer Advanced Formula/Mall.com,G Force/Oldsmobile,Running,187,2,"$281,400",2000
22,30,22,Johnny Unser,Delco Remy/Microdigicom/Homier Tools,G Force/Oldsmobile,Running,186,0,"$161,000",2000
23,8,92,Stan Wattles,Hemelgarn/Metro Racing,Dallara/Oldsmobile,Engine,172,0,"$159,000",2000
24,14,18,Sam Hornish Jr.,Hornish Bros. Trucking/APC,Dallara/Oldsmobile,Accident,153,0,"$268,250",2000
25,21,88,Airton Daré,TeamXtreme/USACredit.com/FreeInternet.com,G Force/Oldsmobile,Engine,126,0,"$262,250",2000
26,9,24,Robbie Buhl,Team Purex Dreyer & Reinbold Racing,G Force/Oldsmobile,Engine,99,0,"$258,500",2000
27,23,75,Richie Hearn,Pagan Racing,Dallara/Oldsmobile,Electrical,97,0,"$155,000",2000
28,33,48,Andy Hillenburg,SUMAR Special by Irwindale Speedway,Dallara/Oldsmobile,Wheel bearing,91,0,"$154,250",2000
29,18,3,Al Unser Jr.,Galles ECR Racing Tickets.com Starz,G Force/Oldsmobile,Overheating,89,0,"$256,000",2000
30,25,27,Jimmy Kite,Big Daddy's BBQ/Founders Bank,G Force/Oldsmobile,Engine,74,0,"$164,000",2000
31,19,15,Sarah Fisher,Walker Racing Cummins,Dallara/Oldsmobile,Accident,71,0,"$165,750",2000
32,32,90,Lyn St. James,Yellow Freight Systems,G Force/Oldsmobile,Accident,69,0,"$152,000",2000
33,1,1,Greg Ray,Team Conseco/Quaker State/Menards,Dallara/Oldsmobile,Accident,67,26,"$388,700",2000
1,11,68,Helio Castroneves,Marlboro Team Penske,Dallara/Oldsmobile,141.574,200,52,"$1,270,475",2001
2,5,66,Gil de Ferran,Marlboro Team Penske,Dallara/Oldsmobile,141.555,200,27,"$482,775",2001
3,21,39,Michael Andretti,Motorola/Archipelago,Dallara/Oldsmobile,141.51,200,16,"$346,225",2001
4,12,44,Jimmy Vasser,Target Chip Ganassi Racing,G Force/Oldsmobile,141.419,200,0,"$233,325",2001
5,20,50,Bruno Junqueira,Target Chip Ganassi Racing,G Force/Oldsmobile,141.271,200,0,"$255,825",2001
6,7,33,Tony Stewart,Target Chip Ganassi Racing,G Force/Oldsmobile,141.157,200,13,"$218,850",2001
7,28,14,Eliseo Salazar,Harrah's A.J. Foyt Racing,Dallara/Oldsmobile,Running,199,0,"$356,300",2001
8,30,88,Airton Daré,1-800-BAR NONE TeamXtreme,G Force/Oldsmobile,Running,199,0,"$320,325",2001
9,32,98,Billy Boat,CURB Records,Dallara/Oldsmobile,Running,199,0,"$337,325",2001
10,33,21,Felipe Giaffone,Hollywood,G Force/Oldsmobile,Running,199,0,"$211,575",2001
11,14,10,Robby McGehee,Cahill Racing Cure Autism Now,Dallara/Oldsmobile,Running,199,0,"$290,825",2001
12,24,12,Buzz Calkins,Bradley Food Marts/Sav-O-Mat,Dallara/Oldsmobile,Running,198,0,"$286,025",2001
13,6,5,Arie Luyendyk,Meijer,G Force/Oldsmobile,Running,198,1,"$182,275",2001
14,13,4,Sam Hornish Jr.,Pennzoil Panther,Dallara/Oldsmobile,Running,196,0,"$308,825",2001
15,9,24,Robbie Buhl,Team Purex Dreyer & Reinbold Racing,G Force/Infiniti,Running,196,0,"$300,325",2001
16,4,28,Mark Dismore,Delphi Auto. Systems/Bryant H. & C.,Dallara/Oldsmobile,Running,195,29,"$287,375",2001
17,2,2,Greg Ray,Johns Manville/Menards,Dallara/Oldsmobile,Running,192,40,"$335,325",2001
18,10,91,Buddy Lazier,Tae-Bo/Coors Light/Delta Faucet,Dallara/Oldsmobile,Running,192,0,"$262,325",2001
19,31,16,Cory Witherill,Radio Shack,G Force/Oldsmobile,Running,187,0,"$159,575",2001
20,23,9,Jeret Schroeder,Purity Products,Dallara/Oldsmobile,Running,187,0,"$256,325",2001
21,3,41,Robby Gordon,Team Conseco/Foyt/RCR Childress Racing,Dallara/Oldsmobile,Running,184,22,"$173,225",2001
22,17,77,Jaques Lazier,Classmates.com/Jonathan Byrd's Cafeteria,G Force/Oldsmobile,Running,183,0,"$161,325",2001
23,26,99,Davey Hamilton,Sam Schmidt Motorsports Racing,Dallara/Oldsmobile,Engine,182,0,"$280,325",2001
24,8,35,Jeff Ward,Aerosmith/Heritage Motorsports/Menards,G Force/Oldsmobile,Running,168,0,"$248,325",2001
25,27,84,Donnie Beechler,Harrah's A.J. Foyt Racing,Dallara/Oldsmobile,Running,160,0,"$172,325",2001
26,25,51,Eddie Cheever Jr.,#51 Excite@Home Indy Race Car,Dallara/Infiniti,Electrical,108,0,"$247,325",2001
27,18,6,Jon Herb,Tri Star Motorsports Inc.,Dallara/Oldsmobile,Accident,104,0,"$245,575",2001
28,29,36,Stephan Gregoire,Heritage Motorsports/Delco Remy/Menards,G Force/Oldsmobile,Oil leak,86,0,"$154,325",2001
29,22,49,Nicolas Minassian,Target Chip Ganassi Racing,G Force/Oldsmobile,Gearbox,74,0,"$149,575",2001
30,19,3,Al Unser Jr.,Galles Racing Starz SuperPak Budweiser,G Force/Oldsmobile,Accident,16,0,"$255,825",2001
31,15,15,Sarah Fisher,Walker Racing Kroger,Dallara/Oldsmobile,Accident,7,0,"$247,325",2001
32,16,52,Scott Goodyear,#52 Thermos Grill2Go Cheever Indy Racing,Dallara/Infiniti,Accident,7,0,"$143,325",2001
33,1,8,Scott Sharp,Delphi Automotive Systems,Dallara/Oldsmobile,Accident,0,0,"$427,325",2001
1,13,3,Helio Castroneves,Marlboro Team Penske,Dallara/Chevrolet,166.499,200,24,"$1,606,215",2002
2,29,26,Paul Tracy,Team Green 7-Eleven,Dallara/Chevrolet,166.484,200,0,"$489,315",2002
3,4,21,Felipe Giaffone,Hollywood Mo Nunn Racing,G Force/Chevrolet,166.482,200,12,"$480,315",2002
4,26,44,Alex Barron,Rayovac Blair Racing,Dallara/Chevrolet,166.477,200,7,"$412,115",2002
5,6,51,Eddie Cheever Jr.,Red Bull Cheever Racing,Dallara/Infiniti,166.461,200,0,"$348,515",2002
6,22,20,Richie Hearn,Grill 2 Go Sam Schmidt Motorsports,Dallara/Chevrolet,166.45,200,0,"$330,815",2002
7,25,39,Michael Andretti,Motorola/Archipelago,Dallara/Chevrolet,166.444,200,0,"$218,715",2002
8,11,31,Robby Gordon,Menards/Childress/Cingular,Dallara/Chevrolet,166.405,200,0,"$204,000",2002
9,15,9,Jeff Ward,Target Chip Ganassi Racing,G Force/Chevrolet,166.383,200,0,"$308,815",2002
10,14,6,Gil de Ferran,Marlboro Team Penske,Dallara/Chevrolet,166.061,200,13,"$293,165",2002
11,21,22,Kenny Brack,Target Chip Ganassi Racing,G Force/Chevrolet,165.995,200,0,"$188,315",2002
12,12,7,Al Unser Jr.,Corteco/Bryant,Dallara/Chevrolet,Running,199,1,"$288,765",2002
13,30,14,Airton Daré,Harrah's A.J. Foyt Racing,Dallara/Chevrolet,Running,199,0,"$281,815",2002
14,24,55,Arie Luyendyk,Meijer,G Force/Chevrolet,Running,199,0,"$338,815",2002
15,20,91,Buddy Lazier,Coors Light/Life Fitness/Tae-Bo/Delta Faucet,Dallara/Chevrolet,Accident,198,0,"$277,615",2002
16,2,24,Robbie Buhl,Team Purex/Aventis/Dreyer & Reinbold Racing,G Force/Infiniti,Running,198,0,"$288,315",2002
17,32,30,George Mack,310 Racing,G Force/Chevrolet,Running,198,0,"$283,565",2002
18,23,98,Billy Boat,CURB Records,Dallara/Chevrolet,Running,198,0,"$286,315",2002
19,28,27,Dario Franchitti,Team Green 7-Eleven,Dallara/Chevrolet,Running,197,0,"$153,565",2002
20,27,12,Shigeaki Hattori,Epson,Dallara/Infiniti,Running,197,0,"$161,565",2002
21,3,2,Raul Boesel,Menards/Johns Manville,Dallara/Chevrolet,Running,197,0,"$268,315",2002
22,16,34,Laurent Redon,Mi-Jack,Dallara/Infiniti,Accident,197,0,"$256,565",2002
23,18,53,Max Papis,Red Bull Cheever Racing,Dallara/Infiniti,Running,196,0,"$153,565",2002
24,9,23,Sarah Fisher,Team Allegra/Dreyer & Reinbold Racing,G Force/Infiniti,Running,196,0,"$163,315",2002
25,7,4,Sam Hornish Jr.,Pennzoil Panther,Dallara/Chevrolet,Running,186,0,"$253,815",2002
26,10,52,Tomas Scheckter,Red Bull Cheever Racing,Dallara/Infiniti,Accident,172,85,"$294,815",2002
27,8,8,Scott Sharp,Delphi,Dallara/Chevrolet,Accident,137,3,"$255,665",2002
28,5,17,Tony Kanaan,Hollywood Mo Nunn Racing,G Force/Chevrolet,Accident,89,23,"$167,665",2002
29,17,5,Rick Treadway,Sprint/Kyocera Wireless/Airlink Enterprises,G Force/Chevrolet,Accident,88,0,"$147,565",2002
30,19,19,Jimmy Vasser,Miller Lite/Rahal Letterman Racing,Dallara/Chevrolet,Gearbox,87,0,"$151,315",2002
31,1,33,Bruno Junqueira,Target Chip Ganassi Racing,G Force/Chevrolet,Gearbox,87,32,"$282,715",2002
32,33,99,Mark Dismore,Grill 2 Go Sam Schmidt Motorsports,Dallara/Chevrolet,Handling,58,0,"$145,315",2002
33,31,11,Greg Ray,AJ Foyt Racing/Harrah's,Dallara/Chevrolet,Accident,28,0,"$245,315",2002
